3748,simple,11,10,3722
14642,arabic,11,10,3722
14644,armenian,11,10,3722
14646,basque,11,10,3722
14648,catalan,11,10,3722
14650,danish,11,10,3722
14652,dutch,11,10,3722
14654,english,11,10,3722
14656,finnish,11,10,3722
14658,french,11,10,3722
14660,german,11,10,3722
14662,greek,11,10,3722
14664,hindi,11,10,3722
14666,hungarian,11,10,3722
14668,indonesian,11,10,3722
14670,irish,11,10,3722
14672,italian,11,10,3722
14674,lithuanian,11,10,3722
14676,nepali,11,10,3722
14678,norwegian,11,10,3722
14680,portuguese,11,10,3722
14682,romanian,11,10,3722
14684,russian,11,10,3722
14686,serbian,11,10,3722
14688,spanish,11,10,3722
14690,swedish,11,10,3722
14692,tamil,11,10,3722
14694,turkish,11,10,3722
14696,yiddish,11,10,3722
